,centro,comunidad,especialidad,localidad,plazas
40,C.H. TORRECÁRDENAS,ANDALUCIA,MEDICINA FÍSICA Y REHABILITACIÓN,ALMERÍA,1
41,C.H. TORRECÁRDENAS,ANDALUCIA,MEDICINA INTENSIVA,ALMERÍA,2
42,C.H. TORRECÁRDENAS,ANDALUCIA,MEDICINA INTERNA,ALMERÍA,2
43,C.H. TORRECÁRDENAS,ANDALUCIA,NEFROLOGÍA,ALMERÍA,1
44,C.H. TORRECÁRDENAS,ANDALUCIA,NEUROCIRUGÍA,ALMERÍA,1
45,C.H. TORRECÁRDENAS,ANDALUCIA,NEUROLOGÍA,ALMERÍA,1
46,C.H. TORRECÁRDENAS,ANDALUCIA,OFTALMOLOGÍA,ALMERÍA,1
47,C.H. TORRECÁRDENAS,ANDALUCIA,RADIODIAGNÓSTICO,ALMERÍA,1
48,H. COSTA DEL SOL,ANDALUCIA,ANATOMÍA PATOLÓGICA,MARBELLA,1
49,H. COSTA DEL SOL,ANDALUCIA,ANESTESIOLOGÍA Y REANIMACIÓN,MARBELLA,1
50,H. COSTA DEL SOL,ANDALUCIA,APARATO DIGESTIVO,MARBELLA,1
51,H. COSTA DEL SOL,ANDALUCIA,CARDIOLOGÍA,MARBELLA,1
52,H. COSTA DEL SOL,ANDALUCIA,CIRUGÍA GRAL. Y DEL A. DIGESTIVO,MARBELLA,1
53,H. COSTA DEL SOL,ANDALUCIA,CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA,MARBELLA,2
54,H. COSTA DEL SOL,ANDALUCIA,DERMATOLOGÍA MÉDICO-QUIRÚRGICA Y V.,MARBELLA,1
55,H. COSTA DEL SOL,ANDALUCIA,MEDICINA INTENSIVA,MARBELLA,1
56,H. COSTA DEL SOL,ANDALUCIA,MEDICINA INTERNA,MARBELLA,2
57,H. COSTA DEL SOL,ANDALUCIA,OBSTETRICIA Y GINECOLOGÍA,MARBELLA,2
58,H. COSTA DEL SOL,ANDALUCIA,OFTALMOLOGÍA,MARBELLA,1
59,H. COSTA DEL SOL,ANDALUCIA,ONCOLOGÍA MÉDICA,MARBELLA,1
60,H. COSTA DEL SOL,ANDALUCIA,PEDIATRÍA Y ÁREAS ESPECÍFICAS,MARBELLA,1
61,H. COSTA DEL SOL,ANDALUCIA,RADIODIAGNÓSTICO,MARBELLA,1
62,H. DE JEREZ DE LA FRONTERA,ANDALUCIA,ANESTESIOLOGÍA Y REANIMACIÓN,JEREZ DE LA FRONTERA,2
63,H. DE JEREZ DE LA FRONTERA,ANDALUCIA,APARATO DIGESTIVO,JEREZ DE LA FRONTERA,1
64,H. DE JEREZ DE LA FRONTERA,ANDALUCIA,CARDIOLOGÍA,JEREZ DE LA FRONTERA,1
65,H. DE JEREZ DE LA FRONTERA,ANDALUCIA,CIRUGÍA GRAL. Y DEL A. DIGESTIVO,JEREZ DE LA FRONTERA,1
66,H. DE JEREZ DE LA FRONTERA,ANDALUCIA,CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA,JEREZ DE LA FRONTERA,1
67,H. DE JEREZ DE LA FRONTERA,ANDALUCIA,HEMATOLOGÍA Y HEMOTERAPIA,JEREZ DE LA FRONTERA,2
68,H. DE JEREZ DE LA FRONTERA,ANDALUCIA,MEDICINA INTENSIVA,JEREZ DE LA FRONTERA,1
69,H. DE JEREZ DE LA FRONTERA,ANDALUCIA,MEDICINA INTERNA,JEREZ DE LA FRONTERA,1
70,H. DE JEREZ DE LA FRONTERA,ANDALUCIA,NEFROLOGÍA,JEREZ DE LA FRONTERA,1
71,H. DE JEREZ DE LA FRONTERA,ANDALUCIA,NEUMOLOGÍA,JEREZ DE LA FRONTERA,1
72,H. DE JEREZ DE LA FRONTERA,ANDALUCIA,OBSTETRICIA Y GINECOLOGÍA,JEREZ DE LA FRONTERA,2
73,H. DE JEREZ DE LA FRONTERA,ANDALUCIA,OFTALMOLOGÍA,JEREZ DE LA FRONTERA,1
74,H. DE JEREZ DE LA FRONTERA,ANDALUCIA,ONCOLOGÍA MÉDICA,JEREZ DE LA FRONTERA,1
75,H. DE JEREZ DE LA FRONTERA,ANDALUCIA,REUMATOLOGÍA,JEREZ DE LA FRONTERA,1
76,H. DE LA AXARQUÍA,ANDALUCIA,CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA,VÉLEZ-MÁLAGA,1
77,H. DE LA AXARQUÍA,ANDALUCIA,MEDICINA INTERNA,VÉLEZ-MÁLAGA,2
78,H. DE PONIENTE,ANDALUCIA,APARATO DIGESTIVO,EL EJIDO,1
79,H. DE PONIENTE,ANDALUCIA,CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA,EL EJIDO,1
80,H. DE PONIENTE,ANDALUCIA,MEDICINA INTERNA,EL EJIDO,1
81,H. GENERAL BÁSICO SANTA ANA,ANDALUCIA,CIRUGÍA GRAL. Y DEL A. DIGESTIVO,MOTRIL,1
82,H. GENERAL BÁSICO SANTA ANA,ANDALUCIA,CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA,MOTRIL,1
83,H. GENERAL BÁSICO SANTA ANA,ANDALUCIA,MEDICINA INTERNA,MOTRIL,1
84,H. INFANTA ELENA,ANDALUCIA,CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA,HUELVA,1
85,H. INFANTA ELENA,ANDALUCIA,MEDICINA INTERNA,HUELVA,2
86,H. INFANTA ELENA,ANDALUCIA,OBSTETRICIA Y GINECOLOGÍA,HUELVA,1
87,H. INFANTA ELENA,ANDALUCIA,RADIODIAGNÓSTICO,HUELVA,1
88,H. JUAN RAMÓN JIMÉNEZ,ANDALUCIA,ANATOMÍA PATOLÓGICA,HUELVA,1
89,H. JUAN RAMÓN JIMÉNEZ,ANDALUCIA,ANESTESIOLOGÍA Y REANIMACIÓN,HUELVA,1
90,H. JUAN RAMÓN JIMÉNEZ,ANDALUCIA,APARATO DIGESTIVO,HUELVA,1
91,H. JUAN RAMÓN JIMÉNEZ,ANDALUCIA,CARDIOLOGÍA,HUELVA,2
92,H. JUAN RAMÓN JIMÉNEZ,ANDALUCIA,CIRUGÍA GRAL. Y DEL A. DIGESTIVO,HUELVA,1
93,H. JUAN RAMÓN JIMÉNEZ,ANDALUCIA,CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA,HUELVA,1
94,H. JUAN RAMÓN JIMÉNEZ,ANDALUCIA,HEMATOLOGÍA Y HEMOTERAPIA,HUELVA,1
95,H. JUAN RAMÓN JIMÉNEZ,ANDALUCIA,MEDICINA FÍSICA Y REHABILITACIÓN,HUELVA,2
96,H. JUAN RAMÓN JIMÉNEZ,ANDALUCIA,MEDICINA INTENSIVA,HUELVA,1
97,H. JUAN RAMÓN JIMÉNEZ,ANDALUCIA,MEDICINA INTERNA,HUELVA,3
98,H. JUAN RAMÓN JIMÉNEZ,ANDALUCIA,NEFROLOGÍA,HUELVA,1
99,H. JUAN RAMÓN JIMÉNEZ,ANDALUCIA,NEUMOLOGÍA,HUELVA,1
100,H. JUAN RAMÓN JIMÉNEZ,ANDALUCIA,OBSTETRICIA Y GINECOLOGÍA,HUELVA,2
101,H. JUAN RAMÓN JIMÉNEZ,ANDALUCIA,OFTALMOLOGÍA,HUELVA,1
102,H. JUAN RAMÓN JIMÉNEZ,ANDALUCIA,ONCOLOGÍA MÉDICA,HUELVA,1
103,H. JUAN RAMÓN JIMÉNEZ,ANDALUCIA,ONCOLOGÍA RADIOTERÁPICA,HUELVA,1
104,H. JUAN RAMÓN JIMÉNEZ,ANDALUCIA,OTORRINOLARINGOLOGÍA,HUELVA,1
105,H. JUAN RAMÓN JIMÉNEZ,ANDALUCIA,PEDIATRÍA Y ÁREAS ESPECÍFICAS,HUELVA,3
106,H. JUAN RAMÓN JIMÉNEZ,ANDALUCIA,RADIODIAGNÓSTICO,HUELVA,2
107,H. JUAN RAMÓN JIMÉNEZ,ANDALUCIA,UROLOGÍA,HUELVA,1
108,H. REGIONAL UNIVERSITARIO DE MÁLAGA,ANDALUCIA,ALERGOLOGÍA,MÁLAGA,1
109,H. REGIONAL UNIVERSITARIO DE MÁLAGA,ANDALUCIA,ANATOMÍA PATOLÓGICA,MÁLAGA,2
110,H. REGIONAL UNIVERSITARIO DE MÁLAGA,ANDALUCIA,ANESTESIOLOGÍA Y REANIMACIÓN,MÁLAGA,4
111,H. REGIONAL UNIVERSITARIO DE MÁLAGA,ANDALUCIA,APARATO DIGESTIVO,MÁLAGA,2
112,H. REGIONAL UNIVERSITARIO DE MÁLAGA,ANDALUCIA,CARDIOLOGÍA,MÁLAGA,2
113,H. REGIONAL UNIVERSITARIO DE MÁLAGA,ANDALUCIA,CIRUGÍA GRAL. Y DEL A. DIGESTIVO,MÁLAGA,2
114,H. REGIONAL UNIVERSITARIO DE MÁLAGA,ANDALUCIA,CIRUGÍA ORAL Y MAXILOFACIAL,MÁLAGA,1
115,H. REGIONAL UNIVERSITARIO DE MÁLAGA,ANDALUCIA,CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA,MÁLAGA,2
116,H. REGIONAL UNIVERSITARIO DE MÁLAGA,ANDALUCIA,CIRUGÍA PEDIÁTRICA,MÁLAGA,1
117,H. REGIONAL UNIVERSITARIO DE MÁLAGA,ANDALUCIA,CIRUGÍA PLÁSTICA ESTÉTICA Y REPARADORA,MÁLAGA,1
118,H. REGIONAL UNIVERSITARIO DE MÁLAGA,ANDALUCIA,CIRUGÍA TORÁCICA,MÁLAGA,1
119,H. REGIONAL UNIVERSITARIO DE MÁLAGA,ANDALUCIA,DERMATOLOGÍA MÉDICO-QUIRÚRGICA Y V.,MÁLAGA,1
120,H. REGIONAL UNIVERSITARIO DE MÁLAGA,ANDALUCIA,ENDOCRINOLOGÍA Y NUTRICIÓN,MÁLAGA,1
121,H. REGIONAL UNIVERSITARIO DE MÁLAGA,ANDALUCIA,HEMATOLOGÍA Y HEMOTERAPIA,MÁLAGA,2
122,H. REGIONAL UNIVERSITARIO DE MÁLAGA,ANDALUCIA,MEDICINA FÍSICA Y REHABILITACIÓN,MÁLAGA,1
123,H. REGIONAL UNIVERSITARIO DE MÁLAGA,ANDALUCIA,MEDICINA INTENSIVA,MÁLAGA,2
124,H. REGIONAL UNIVERSITARIO DE MÁLAGA,ANDALUCIA,MEDICINA INTERNA,MÁLAGA,2
125,H. REGIONAL UNIVERSITARIO DE MÁLAGA,ANDALUCIA,MEDICINA NUCLEAR,MÁLAGA,1
126,H. REGIONAL UNIVERSITARIO DE MÁLAGA,ANDALUCIA,NEFROLOGÍA,MÁLAGA,2
127,H. REGIONAL UNIVERSITARIO DE MÁLAGA,ANDALUCIA,NEUMOLOGÍA,MÁLAGA,2
128,H. REGIONAL UNIVERSITARIO DE MÁLAGA,ANDALUCIA,NEUROCIRUGÍA,MÁLAGA,1
129,H. REGIONAL UNIVERSITARIO DE MÁLAGA,ANDALUCIA,NEUROFISIOLOGÍA CLÍNICA,MÁLAGA,1
130,H. REGIONAL UNIVERSITARIO DE MÁLAGA,ANDALUCIA,NEUROLOGÍA,MÁLAGA,2
131,H. REGIONAL UNIVERSITARIO DE MÁLAGA,ANDALUCIA,OBSTETRICIA Y GINECOLOGÍA,MÁLAGA,5
132,H. REGIONAL UNIVERSITARIO DE MÁLAGA,ANDALUCIA,OFTALMOLOGÍA,MÁLAGA,2
133,H. REGIONAL UNIVERSITARIO DE MÁLAGA,ANDALUCIA,ONCOLOGÍA MÉDICA,MÁLAGA,1
134,H. REGIONAL UNIVERSITARIO DE MÁLAGA,ANDALUCIA,ONCOLOGÍA RADIOTERÁPICA,MÁLAGA,1
135,H. REGIONAL UNIVERSITARIO DE MÁLAGA,ANDALUCIA,OTORRINOLARINGOLOGÍA,MÁLAGA,1
136,H. REGIONAL UNIVERSITARIO DE MÁLAGA,ANDALUCIA,RADIODIAGNÓSTICO,MÁLAGA,5
137,H. REGIONAL UNIVERSITARIO DE MÁLAGA,ANDALUCIA,REUMATOLOGÍA,MÁLAGA,1
138,H. REGIONAL UNIVERSITARIO DE MÁLAGA,ANDALUCIA,UROLOGÍA,MÁLAGA,2
139,H. SAN AGUSTÍN,ANDALUCIA,CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA,LINARES,1
140,H. SAN JUAN DE DIOS DEL ALJARAFE,ANDALUCIA,CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA,BORMUJOS,1
141,H. SAN JUAN DE DIOS DEL ALJARAFE,ANDALUCIA,MEDICINA INTERNA,BORMUJOS,1
142,H. UNIVERSITARIO DE PUERTO REAL,ANDALUCIA,ANESTESIOLOGÍA Y REANIMACIÓN,PUERTO REAL,2
143,H. UNIVERSITARIO DE PUERTO REAL,ANDALUCIA,APARATO DIGESTIVO,PUERTO REAL,1
144,H. UNIVERSITARIO DE PUERTO REAL,ANDALUCIA,CARDIOLOGÍA,PUERTO REAL,1
145,H. UNIVERSITARIO DE PUERTO REAL,ANDALUCIA,CIRUGÍA GRAL. Y DEL A. DIGESTIVO,PUERTO REAL,1
146,H. UNIVERSITARIO DE PUERTO REAL,ANDALUCIA,CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA,PUERTO REAL,1
147,H. UNIVERSITARIO DE PUERTO REAL,ANDALUCIA,FARMACOLOGÍA CLÍNICA,PUERTO REAL,1
148,H. UNIVERSITARIO DE PUERTO REAL,ANDALUCIA,MEDICINA INTENSIVA,PUERTO REAL,1
149,H. UNIVERSITARIO DE PUERTO REAL,ANDALUCIA,MEDICINA INTERNA,PUERTO REAL,1
150,H. UNIVERSITARIO DE PUERTO REAL,ANDALUCIA,MICROBIOLOGÍA Y PARASITOLOGÍA,PUERTO REAL,1
151,H. UNIVERSITARIO DE PUERTO REAL,ANDALUCIA,NEFROLOGÍA,PUERTO REAL,1
152,H. UNIVERSITARIO DE PUERTO REAL,ANDALUCIA,OBSTETRICIA Y GINECOLOGÍA,PUERTO REAL,2
153,H. UNIVERSITARIO DE PUERTO REAL,ANDALUCIA,OFTALMOLOGÍA,PUERTO REAL,1
154,H. UNIVERSITARIO DE PUERTO REAL,ANDALUCIA,OTORRINOLARINGOLOGÍA,PUERTO REAL,1
155,H. UNIVERSITARIO DE PUERTO REAL,ANDALUCIA,RADIODIAGNÓSTICO,PUERTO REAL,2
156,H. UNIVERSITARIO DE PUERTO REAL,ANDALUCIA,UROLOGÍA,PUERTO REAL,1
157,H. UNIVERSITARIO NTRA. SRA. DE VALME,ANDALUCIA,ANÁLISIS CLÍNICOS,SEVILLA,1
158,H. UNIVERSITARIO NTRA. SRA. DE VALME,ANDALUCIA,ANATOMÍA PATOLÓGICA,SEVILLA,1
159,H. UNIVERSITARIO NTRA. SRA. DE VALME,ANDALUCIA,ANESTESIOLOGÍA Y REANIMACIÓN,SEVILLA,3
160,H. UNIVERSITARIO NTRA. SRA. DE VALME,ANDALUCIA,ANGIOLOGÍA Y CIRUGÍA VASCULAR,SEVILLA,1
161,H. UNIVERSITARIO NTRA. SRA. DE VALME,ANDALUCIA,APARATO DIGESTIVO,SEVILLA,2
162,H. UNIVERSITARIO NTRA. SRA. DE VALME,ANDALUCIA,CARDIOLOGÍA,SEVILLA,2
163,H. UNIVERSITARIO NTRA. SRA. DE VALME,ANDALUCIA,CIRUGÍA GRAL. Y DEL A. DIGESTIVO,SEVILLA,1
164,H. UNIVERSITARIO NTRA. SRA. DE VALME,ANDALUCIA,CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA,SEVILLA,3
165,H. UNIVERSITARIO NTRA. SRA. DE VALME,ANDALUCIA,DERMATOLOGÍA MÉDICO-QUIRÚRGICA Y V.,SEVILLA,1
166,H. UNIVERSITARIO NTRA. SRA. DE VALME,ANDALUCIA,ENDOCRINOLOGÍA Y NUTRICIÓN,SEVILLA,1
167,H. UNIVERSITARIO NTRA. SRA. DE VALME,ANDALUCIA,HEMATOLOGÍA Y HEMOTERAPIA,SEVILLA,1
168,H. UNIVERSITARIO NTRA. SRA. DE VALME,ANDALUCIA,MEDICINA INTENSIVA,SEVILLA,1
169,H. UNIVERSITARIO NTRA. SRA. DE VALME,ANDALUCIA,MEDICINA INTERNA,SEVILLA,2
170,H. UNIVERSITARIO NTRA. SRA. DE VALME,ANDALUCIA,MICROBIOLOGÍA Y PARASITOLOGÍA,SEVILLA,1
171,H. UNIVERSITARIO NTRA. SRA. DE VALME,ANDALUCIA,NEUMOLOGÍA,SEVILLA,1
172,H. UNIVERSITARIO NTRA. SRA. DE VALME,ANDALUCIA,NEUROLOGÍA,SEVILLA,1
173,H. UNIVERSITARIO NTRA. SRA. DE VALME,ANDALUCIA,OFTALMOLOGÍA,SEVILLA,2
174,H. UNIVERSITARIO NTRA. SRA. DE VALME,ANDALUCIA,ONCOLOGÍA MÉDICA,SEVILLA,2
175,H. UNIVERSITARIO NTRA. SRA. DE VALME,ANDALUCIA,RADIODIAGNÓSTICO,SEVILLA,2
176,H. UNIVERSITARIO NTRA. SRA. DE VALME,ANDALUCIA,REUMATOLOGÍA,SEVILLA,1
177,H. UNIVERSITARIO NTRA. SRA. DE VALME,ANDALUCIA,UROLOGÍA,SEVILLA,1
178,H. UNIVERSITARIO PUERTA DEL MAR,ANDALUCIA,ANATOMÍA PATOLÓGICA,CÁDIZ,1
179,H. UNIVERSITARIO PUERTA DEL MAR,ANDALUCIA,ANESTESIOLOGÍA Y REANIMACIÓN,CÁDIZ,2
180,H. UNIVERSITARIO PUERTA DEL MAR,ANDALUCIA,ANGIOLOGÍA Y CIRUGÍA VASCULAR,CÁDIZ,1
181,H. UNIVERSITARIO PUERTA DEL MAR,ANDALUCIA,APARATO DIGESTIVO,CÁDIZ,2
182,H. UNIVERSITARIO PUERTA DEL MAR,ANDALUCIA,CARDIOLOGÍA,CÁDIZ,3
183,H. UNIVERSITARIO PUERTA DEL MAR,ANDALUCIA,CIRUGÍA CARDIOVASCULAR,CÁDIZ,1
184,H. UNIVERSITARIO PUERTA DEL MAR,ANDALUCIA,CIRUGÍA GRAL. Y DEL A. DIGESTIVO,CÁDIZ,1
185,H. UNIVERSITARIO PUERTA DEL MAR,ANDALUCIA,CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA,CÁDIZ,2
186,H. UNIVERSITARIO PUERTA DEL MAR,ANDALUCIA,DERMATOLOGÍA MÉDICO-QUIRÚRGICA Y V.,CÁDIZ,1
187,H. UNIVERSITARIO PUERTA DEL MAR,ANDALUCIA,ENDOCRINOLOGÍA Y NUTRICIÓN,CÁDIZ,1
188,H. UNIVERSITARIO PUERTA DEL MAR,ANDALUCIA,HEMATOLOGÍA Y HEMOTERAPIA,CÁDIZ,1
189,H. UNIVERSITARIO PUERTA DEL MAR,ANDALUCIA,MEDICINA FÍSICA Y REHABILITACIÓN,CÁDIZ,1
190,H. UNIVERSITARIO PUERTA DEL MAR,ANDALUCIA,MEDICINA INTENSIVA,CÁDIZ,2
191,H. UNIVERSITARIO PUERTA DEL MAR,ANDALUCIA,MEDICINA INTERNA,CÁDIZ,2
192,H. UNIVERSITARIO PUERTA DEL MAR,ANDALUCIA,MEDICINA NUCLEAR,CÁDIZ,1
193,H. UNIVERSITARIO PUERTA DEL MAR,ANDALUCIA,NEFROLOGÍA,CÁDIZ,1
194,H. UNIVERSITARIO PUERTA DEL MAR,ANDALUCIA,NEUMOLOGÍA,CÁDIZ,1
195,H. UNIVERSITARIO PUERTA DEL MAR,ANDALUCIA,NEUROCIRUGÍA,CÁDIZ,1
196,H. UNIVERSITARIO PUERTA DEL MAR,ANDALUCIA,NEUROLOGÍA,CÁDIZ,1
197,H. UNIVERSITARIO PUERTA DEL MAR,ANDALUCIA,OBSTETRICIA Y GINECOLOGÍA,CÁDIZ,3
198,H. UNIVERSITARIO PUERTA DEL MAR,ANDALUCIA,OFTALMOLOGÍA,CÁDIZ,2
199,H. UNIVERSITARIO PUERTA DEL MAR,ANDALUCIA,ONCOLOGÍA MÉDICA,CÁDIZ,1
200,H. UNIVERSITARIO PUERTA DEL MAR,ANDALUCIA,ONCOLOGÍA RADIOTERÁPICA,CÁDIZ,1
201,H. UNIVERSITARIO PUERTA DEL MAR,ANDALUCIA,OTORRINOLARINGOLOGÍA,CÁDIZ,1
202,H. UNIVERSITARIO PUERTA DEL MAR,ANDALUCIA,PSIQUIATRÍA,CÁDIZ,1
203,H. UNIVERSITARIO PUERTA DEL MAR,ANDALUCIA,RADIODIAGNÓSTICO,CÁDIZ,3
204,H. UNIVERSITARIO PUERTA DEL MAR,ANDALUCIA,REUMATOLOGÍA,CÁDIZ,1
205,H. UNIVERSITARIO PUERTA DEL MAR,ANDALUCIA,UROLOGÍA,CÁDIZ,1
206,H. UNIVERSITARIO REINA SOFÍA,ANDALUCIA,ALERGOLOGÍA,CÓRDOBA,2
207,H. UNIVERSITARIO REINA SOFÍA,ANDALUCIA,ANATOMÍA PATOLÓGICA,CÓRDOBA,1
208,H. UNIVERSITARIO REINA SOFÍA,ANDALUCIA,ANESTESIOLOGÍA Y REANIMACIÓN,CÓRDOBA,4
209,H. UNIVERSITARIO REINA SOFÍA,ANDALUCIA,APARATO DIGESTIVO,CÓRDOBA,3
210,H. UNIVERSITARIO REINA SOFÍA,ANDALUCIA,CARDIOLOGÍA,CÓRDOBA,3
211,H. UNIVERSITARIO REINA SOFÍA,ANDALUCIA,CIRUGÍA CARDIOVASCULAR,CÓRDOBA,1
212,H. UNIVERSITARIO REINA SOFÍA,ANDALUCIA,CIRUGÍA GRAL. Y DEL A. DIGESTIVO,CÓRDOBA,3
213,H. UNIVERSITARIO REINA SOFÍA,ANDALUCIA,CIRUGÍA ORAL Y MAXILOFACIAL,CÓRDOBA,1
214,H. UNIVERSITARIO REINA SOFÍA,ANDALUCIA,CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA,CÓRDOBA,3
215,H. UNIVERSITARIO REINA SOFÍA,ANDALUCIA,CIRUGÍA PEDIÁTRICA,CÓRDOBA,1
216,H. UNIVERSITARIO REINA SOFÍA,ANDALUCIA,CIRUGÍA PLÁSTICA ESTÉTICA Y REPARADORA,CÓRDOBA,1
217,H. UNIVERSITARIO REINA SOFÍA,ANDALUCIA,CIRUGÍA TORÁCICA,CÓRDOBA,1
218,H. UNIVERSITARIO REINA SOFÍA,ANDALUCIA,DERMATOLOGÍA MÉDICO-QUIRÚRGICA Y V.,CÓRDOBA,1
219,H. UNIVERSITARIO REINA SOFÍA,ANDALUCIA,ENDOCRINOLOGÍA Y NUTRICIÓN,CÓRDOBA,1
220,H. UNIVERSITARIO REINA SOFÍA,ANDALUCIA,HEMATOLOGÍA Y HEMOTERAPIA,CÓRDOBA,2
221,H. UNIVERSITARIO REINA SOFÍA,ANDALUCIA,MEDICINA FÍSICA Y REHABILITACIÓN,CÓRDOBA,1
